Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
Technology,Los Angeles,United States,Eric Hoffmann,0.00%,1,16-01-2016,CA-2016-121755,90049,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,12,3,West,91,Consumer,20-01-2016,Second Class,California,Accessories
Furniture,Philadelphia,United States,Tracy Blumstein,50.00%,1,17-09-2015,US-2015-150630,19140,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","-1,665",7,East,"3,083",Consumer,21-09-2015,Standard Class,Pennsylvania,Bookcases
Office Supplies,Philadelphia,United States,Tracy Blumstein,70.00%,1,17-09-2015,US-2015-150630,19140,Avery Recycled Flexi-View Covers for Binding Systems,-7,2,East,10,Consumer,21-09-2015,Standard Class,Pennsylvania,Binders
Furniture,Philadelphia,United States,Tracy Blumstein,20.00%,1,17-09-2015,US-2015-150630,19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",16,3,East,124,Consumer,21-09-2015,Standard Class,Pennsylvania,Furnishings
Office Supplies,Philadelphia,United States,Tracy Blumstein,20.00%,1,17-09-2015,US-2015-150630,19140,Poly String Tie Envelopes,1,2,East,3,Consumer,21-09-2015,Standard Class,Pennsylvania,Envelopes
Office Supplies,Philadelphia,United States,Tracy Blumstein,20.00%,1,17-09-2015,US-2015-150630,19140,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",10,6,East,86,Consumer,21-09-2015,Standard Class,Pennsylvania,Art
Office Supplies,Philadelphia,United States,Tracy Blumstein,70.00%,1,17-09-2015,US-2015-150630,19140,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-6,6,East,7,Consumer,21-09-2015,Standard Class,Pennsylvania,Binders
Office Supplies,Philadelphia,United States,Tracy Blumstein,20.00%,1,17-09-2015,US-2015-150630,19140,Lumber Crayons,4,2,East,16,Consumer,21-09-2015,Standard Class,Pennsylvania,Art
Office Supplies,Houston,United States,Matt Abelman,20.00%,1,19-10-2017,CA-2017-107727,77095,Easy-staple paper,10,3,Central,29,Home Office,23-10-2017,Second Class,Texas,Paper
Technology,Richardson,United States,Gene Hale,20.00%,1,08-12-2016,CA-2016-117590,75080,GE 30524EE4,123,7,Central,"1,098",Corporate,10-12-2016,First Class,Texas,Phones
Furniture,Richardson,United States,Gene Hale,60.00%,1,08-12-2016,CA-2016-117590,75080,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",-148,5,Central,191,Corporate,10-12-2016,First Class,Texas,Furnishings
Office Supplies,Houston,United States,Steve Nguyen,20.00%,1,27-12-2015,CA-2015-117415,77041,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",35,9,Central,113,Home Office,31-12-2015,Standard Class,Texas,Envelopes
Furniture,Houston,United States,Steve Nguyen,32.00%,1,27-12-2015,CA-2015-117415,77041,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",-47,3,Central,532,Home Office,31-12-2015,Standard Class,Texas,Bookcases
Furniture,Houston,United States,Steve Nguyen,30.00%,1,27-12-2015,CA-2015-117415,77041,"Global Fabric Manager's Chair, Dark Gray",-15,3,Central,212,Home Office,31-12-2015,Standard Class,Texas,Chairs
Technology,Houston,United States,Steve Nguyen,20.00%,1,27-12-2015,CA-2015-117415,77041,Plantronics HL10 Handset Lifter,42,4,Central,371,Home Office,31-12-2015,Standard Class,Texas,Phones
Technology,Naperville,United States,Linda Cazamias,20.00%,1,10-09-2017,CA-2017-120999,60540,Panasonic Kx-TS550,17,4,Central,147,Corporate,15-09-2017,Standard Class,Illinois,Phones
Office Supplies,Los Angeles,United States,Ruben Ausman,0.00%,1,17-07-2016,CA-2016-101343,90049,"Eldon Base for stackable storage shelf, platinum",4,2,West,78,Corporate,22-07-2016,Standard Class,California,Storage
Office Supplies,Melbourne,United States,Erin Smith,20.00%,1,19-09-2017,CA-2017-139619,32935,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",10,2,South,96,Corporate,23-09-2017,Standard Class,Florida,Storage
Technology,Eagan,United States,Odella Nelson,0.00%,1,11-03-2016,CA-2016-118255,55122,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",20,2,Central,46,Corporate,13-03-2016,First Class,Minnesota,Accessories
Office Supplies,Eagan,United States,Odella Nelson,0.00%,1,11-03-2016,CA-2016-118255,55122,Wilson Jones Leather-Like Binders with DublLock Round Rings,8,2,Central,17,Corporate,13-03-2016,First Class,Minnesota,Binders
Office Supplies,Westland,United States,Patrick O'Donnell,0.00%,1,20-10-2014,CA-2014-146703,48185,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",8,4,Central,212,Consumer,25-10-2014,Second Class,Michigan,Storage
Technology,Dover,United States,Lena Hernandez,0.00%,1,20-06-2016,CA-2016-169194,19901,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,5,3,East,45,Consumer,25-06-2016,Standard Class,Delaware,Accessories
Technology,Dover,United States,Lena Hernandez,0.00%,1,20-06-2016,CA-2016-169194,19901,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",6,2,East,22,Consumer,25-06-2016,Standard Class,Delaware,Phones
Office Supplies,New Albany,United States,Darren Powers,0.00%,1,18-04-2015,CA-2015-115742,47150,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",18,6,Central,38,Consumer,22-04-2015,Standard Class,Indiana,Binders
Office Supplies,New Albany,United States,Darren Powers,0.00%,1,18-04-2015,CA-2015-115742,47150,Avery 485,35,6,Central,75,Consumer,22-04-2015,Standard Class,Indiana,Labels
Furniture,New Albany,United States,Darren Powers,0.00%,1,18-04-2015,CA-2015-115742,47150,Longer-Life Soft White Bulbs,3,2,Central,6,Consumer,22-04-2015,Standard Class,Indiana,Furnishings
Furniture,New Albany,United States,Darren Powers,0.00%,1,18-04-2015,CA-2015-115742,47150,"Global Leather Task Chair, Black",17,1,Central,90,Consumer,22-04-2015,Standard Class,Indiana,Chairs
Office Supplies,New York City,United States,Janet Molinari,0.00%,1,11-12-2016,CA-2016-105816,10024,Advantus Push Pins,6,7,East,15,Corporate,17-12-2016,Standard Class,New York,Fasteners
Technology,New York City,United States,Janet Molinari,0.00%,1,11-12-2016,CA-2016-105816,10024,AT&T CL83451 4-Handset Telephone,299,5,East,"1,030",Corporate,17-12-2016,Standard Class,New York,Phones
Office Supplies,Troy,United States,Ted Butterfield,0.00%,1,17-06-2016,CA-2016-111682,12180,Home/Office Personal File Carts,52,6,East,209,Consumer,18-06-2016,First Class,New York,Storage
Office Supplies,Troy,United States,Ted Butterfield,0.00%,1,17-06-2016,CA-2016-111682,12180,Xerox 232,16,5,East,32,Consumer,18-06-2016,First Class,New York,Paper
Furniture,Troy,United States,Ted Butterfield,10.00%,1,17-06-2016,CA-2016-111682,12180,Novimex Turbo Task Chair,7,5,East,319,Consumer,18-06-2016,First Class,New York,Chairs
Office Supplies,Troy,United States,Ted Butterfield,0.00%,1,17-06-2016,CA-2016-111682,12180,"Array Parchment Paper, Assorted Colors",7,2,East,15,Consumer,18-06-2016,First Class,New York,Paper
Technology,Troy,United States,Ted Butterfield,0.00%,1,17-06-2016,CA-2016-111682,12180,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3,2,East,30,Consumer,18-06-2016,First Class,New York,Accessories
Office Supplies,Troy,United States,Ted Butterfield,20.00%,1,17-06-2016,CA-2016-111682,12180,Plastic Binding Combs,16,4,East,48,Consumer,18-06-2016,First Class,New York,Binders
Office Supplies,Troy,United States,Ted Butterfield,0.00%,1,17-06-2016,CA-2016-111682,12180,Prang Dustless Chalk Sticks,1,1,East,2,Consumer,18-06-2016,First Class,New York,Art
Technology,Los Angeles,United States,Kunst Miller,0.00%,1,24-11-2015,CA-2015-135545,90004,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6,2,West,14,Consumer,30-11-2015,Standard Class,California,Accessories
Office Supplies,Los Angeles,United States,Kunst Miller,20.00%,1,24-11-2015,CA-2015-135545,90004,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",9,6,West,26,Consumer,30-11-2015,Standard Class,California,Binders
Office Supplies,Los Angeles,United States,Kunst Miller,0.00%,1,24-11-2015,CA-2015-135545,90004,Xerox 1943,69,3,West,147,Consumer,30-11-2015,Standard Class,California,Paper
Furniture,Los Angeles,United States,Kunst Miller,0.00%,1,24-11-2015,CA-2015-135545,90004,Luxo Economy Swing Arm Lamp,22,4,West,80,Consumer,30-11-2015,Standard Class,California,Furnishings
Furniture,Chicago,United States,Paul Stevenson,30.00%,1,30-04-2015,US-2015-164175,60610,"Global Value Mid-Back Manager's Chair, Gray",-15,5,Central,213,Home Office,05-05-2015,Standard Class,Illinois,Chairs
Office Supplies,Gilbert,United States,Brendan Sweed,20.00%,1,05-12-2014,CA-2014-106376,85234,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",111,8,West,"1,113",Corporate,10-12-2014,Standard Class,Arizona,Art
Technology,Gilbert,United States,Brendan Sweed,20.00%,1,05-12-2014,CA-2014-106376,85234,netTALK DUO VoIP Telephone Service,63,4,West,168,Corporate,10-12-2014,Standard Class,Arizona,Phones
Office Supplies,Springfield,United States,Karen Daniels,0.00%,1,04-06-2016,CA-2016-119823,22153,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",36,2,South,76,Consumer,06-06-2016,First Class,Virginia,Paper
Office Supplies,New York City,United States,Henry MacAllister,20.00%,1,18-09-2016,CA-2016-106075,10009,Avery Binding System Hidden Tab Executive Style Index Sets,2,1,East,5,Consumer,23-09-2016,Standard Class,New York,Binders
Office Supplies,Jackson,United States,Tracy Blumstein,0.00%,1,14-09-2017,CA-2017-114440,49201,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",9,3,Central,19,Consumer,17-09-2017,Second Class,Michigan,Paper
Furniture,Memphis,United States,Joel Eaton,20.00%,1,26-04-2015,US-2015-134026,38109,High-Back Leather Manager's Chair,-114,8,South,832,Consumer,02-05-2015,Standard Class,Tennessee,Chairs
Furniture,Memphis,United States,Joel Eaton,20.00%,1,26-04-2015,US-2015-134026,38109,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1,2,South,97,Consumer,02-05-2015,Standard Class,Tennessee,Furnishings
Office Supplies,Memphis,United States,Joel Eaton,20.00%,1,26-04-2015,US-2015-134026,38109,Safco Industrial Wire Shelving System,-18,1,South,73,Consumer,02-05-2015,Standard Class,Tennessee,Storage
Office Supplies,Houston,United States,Ken Brennan,80.00%,1,09-12-2017,US-2017-118038,77041,Economy Binders,-2,3,Central,1,Corporate,11-12-2017,First Class,Texas,Binders
Furniture,Houston,United States,Ken Brennan,60.00%,1,09-12-2017,US-2017-118038,77041,"6"" Cubicle Wall Clock, Black",-6,3,Central,10,Corporate,11-12-2017,First Class,Texas,Furnishings
Office Supplies,Houston,United States,Ken Brennan,20.00%,1,09-12-2017,US-2017-118038,77041,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",3,3,Central,27,Corporate,11-12-2017,First Class,Texas,Storage
Furniture,Houston,United States,Joel Eaton,60.00%,1,26-11-2014,US-2014-147606,77070,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",-14,5,Central,19,Consumer,01-12-2014,Second Class,Texas,Furnishings
Office Supplies,Decatur,United States,Stewart Carmichael,0.00%,1,12-06-2016,CA-2016-127208,35601,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",56,1,South,208,Corporate,15-06-2016,First Class,Alabama,Appliances
Office Supplies,Decatur,United States,Stewart Carmichael,0.00%,1,12-06-2016,CA-2016-127208,35601,Avery Heavy-Duty EZD  Binder With Locking Rings,8,3,South,17,Corporate,15-06-2016,First Class,Alabama,Binders
Office Supplies,San Francisco,United States,Duane Noonan,0.00%,1,12-10-2014,CA-2014-139451,94122,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4,5,West,15,Consumer,16-10-2014,Standard Class,California,Art
Office Supplies,San Francisco,United States,Duane Noonan,0.00%,1,12-10-2014,CA-2014-139451,94122,"Sortfiler Multipurpose Personal File Organizer, Black",6,1,West,21,Consumer,16-10-2014,Standard Class,California,Storage
Office Supplies,Durham,United States,Julie Creighton,20.00%,1,03-09-2015,CA-2015-149734,27707,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,63,7,South,201,Corporate,08-09-2015,Standard Class,North Carolina,Envelopes
Office Supplies,Chicago,United States,Christopher Schild,20.00%,1,13-11-2017,US-2017-119662,60623,Safco Industrial Wire Shelving,-49,3,Central,230,Home Office,16-11-2017,First Class,Illinois,Storage
Furniture,Columbia,United States,Patrick O'Donnell,0.00%,1,28-05-2017,CA-2017-140088,29203,Novimex Swivel Fabric Task Chair,33,2,South,302,Consumer,30-05-2017,Second Class,South Carolina,Chairs
Technology,Rochester,United States,Paul Gonzalez,0.00%,1,26-10-2017,CA-2017-155558,55901,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,7,1,Central,20,Consumer,02-11-2017,Standard Class,Minnesota,Accessories
Office Supplies,Rochester,United States,Paul Gonzalez,0.00%,1,26-10-2017,CA-2017-155558,55901,Avery 511,3,2,Central,6,Consumer,02-11-2017,Standard Class,Minnesota,Labels
Office Supplies,Houston,United States,Gary Mitchum,20.00%,1,05-04-2016,CA-2016-159695,77095,Eldon Portable Mobile Manager,14,7,Central,158,Home Office,10-04-2016,Second Class,Texas,Storage
Office Supplies,Los Angeles,United States,Jim Sink,0.00%,1,17-09-2016,CA-2016-109806,90036,Turquoise Lead Holder with Pocket Clip,7,3,West,20,Corporate,22-09-2016,Standard Class,California,Art
Technology,Los Angeles,United States,Jim Sink,20.00%,1,17-09-2016,CA-2016-109806,90036,Panasonic Kx-TS550,8,2,West,74,Corporate,22-09-2016,Standard Class,California,Phones
Office Supplies,Los Angeles,United States,Jim Sink,0.00%,1,17-09-2016,CA-2016-109806,90036,Xerox 1995,3,1,West,6,Corporate,22-09-2016,Standard Class,California,Paper
Office Supplies,Minneapolis,United States,Karl Braun,0.00%,1,31-01-2015,CA-2015-149587,55407,Xerox 1999,6,2,Central,13,Consumer,05-02-2015,Second Class,Minnesota,Paper
Furniture,Minneapolis,United States,Karl Braun,0.00%,1,31-01-2015,CA-2015-149587,55407,"Seth Thomas 13 1/2"" Wall Clock",17,3,Central,53,Consumer,05-02-2015,Second Class,Minnesota,Furnishings
Office Supplies,Minneapolis,United States,Karl Braun,0.00%,1,31-01-2015,CA-2015-149587,55407,Ibico Standard Transparent Covers,16,2,Central,33,Consumer,05-02-2015,Second Class,Minnesota,Binders
Office Supplies,Portland,United States,Roger Barcio,70.00%,1,06-11-2017,US-2017-109484,97206,Flexible Leather- Look Classic Collection Ring Binder,-4,1,West,6,Home Office,12-11-2017,Standard Class,Oregon,Binders
Furniture,New York City,United States,Parhena Norris,0.00%,1,09-11-2017,CA-2017-161018,10009,9-3/4 Diameter Round Wall Clock,41,7,East,97,Home Office,11-11-2017,Second Class,New York,Furnishings
Office Supplies,San Francisco,United States,Katherine Ducich,20.00%,1,17-06-2017,CA-2017-157833,94122,Trimflex Flexible Post Binders,18,3,West,51,Consumer,20-06-2017,First Class,California,Binders
Office Supplies,Saint Paul,United States,Elpida Rittenbach,0.00%,1,06-09-2016,CA-2016-149223,55106,Fellowes Basic Home/Office Series Surge Protectors,23,6,Central,78,Corporate,11-09-2016,Standard Class,Minnesota,Appliances
Office Supplies,Chicago,United States,Rick Bensley,20.00%,1,29-08-2016,CA-2016-158568,60610,Avery Personal Creations Heavyweight Cards,23,7,Central,65,Home Office,02-09-2016,Standard Class,Illinois,Paper
Technology,Chicago,United States,Rick Bensley,20.00%,1,29-08-2016,CA-2016-158568,60610,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,-11,3,Central,96,Home Office,02-09-2016,Standard Class,Illinois,Accessories
Office Supplies,Chicago,United States,Rick Bensley,80.00%,1,29-08-2016,CA-2016-158568,60610,Avery Hidden Tab Dividers for Binding Systems,-3,3,Central,2,Home Office,02-09-2016,Standard Class,Illinois,Binders
Office Supplies,Rochester,United States,Gary Zandusky,0.00%,1,01-12-2016,CA-2016-129903,55901,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),12,4,Central,24,Consumer,04-12-2016,Second Class,Minnesota,Paper
Technology,Aurora,United States,Lena Cacioppo,20.00%,1,13-11-2015,US-2015-156867,80013,Logitech K350 2.4Ghz Wireless Keyboard,-27,6,West,239,Consumer,17-11-2015,Standard Class,Colorado,Accessories
Furniture,Aurora,United States,Lena Cacioppo,20.00%,1,13-11-2015,US-2015-156867,80013,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",-4,3,West,102,Consumer,17-11-2015,Standard Class,Colorado,Furnishings
Office Supplies,Aurora,United States,Lena Cacioppo,70.00%,1,13-11-2015,US-2015-156867,80013,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",-26,3,West,37,Consumer,17-11-2015,Standard Class,Colorado,Binders
Technology,Charlotte,United States,Janet Martin,20.00%,1,23-11-2017,CA-2017-119004,28205,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,18,8,South,74,Consumer,28-11-2017,Standard Class,North Carolina,Accessories
Technology,Charlotte,United States,Janet Martin,20.00%,1,23-11-2017,CA-2017-119004,28205,Speck Products Candyshell Flip Case,2,1,South,28,Consumer,28-11-2017,Standard Class,North Carolina,Phones
Office Supplies,Charlotte,United States,Janet Martin,20.00%,1,23-11-2017,CA-2017-119004,28205,Newell Chalk Holder,1,1,South,3,Consumer,28-11-2017,Standard Class,North Carolina,Art
Technology,Orland Park,United States,Pete Armstrong,20.00%,1,15-10-2015,CA-2015-129476,60462,Logitech Gaming G510s - Keyboard,68,5,Central,340,Home Office,20-10-2015,Standard Class,Illinois,Accessories
Furniture,New York City,United States,Cynthia Voltz,0.00%,1,25-12-2017,CA-2017-146780,10035,Magnifier Swing Arm Lamp,11,2,East,42,Corporate,30-12-2017,Standard Class,New York,Furnishings
Office Supplies,Urbandale,United States,Clay Ludtke,0.00%,1,03-11-2016,CA-2016-128867,50322,"Hunt PowerHouse Electric Pencil Sharpener, Blue",23,2,Central,76,Consumer,10-11-2016,Standard Class,Iowa,Art
Office Supplies,Urbandale,United States,Clay Ludtke,0.00%,1,03-11-2016,CA-2016-128867,50322,"Avery Durable Plastic 1"" Binders",13,6,Central,27,Consumer,10-11-2016,Standard Class,Iowa,Binders
Office Supplies,Columbus,United States,Ryan Crowe,20.00%,1,25-08-2014,CA-2014-115259,43229,"OIC Colored Binder Clips, Assorted Sizes",15,14,East,40,Consumer,27-08-2014,Second Class,Ohio,Fasteners
Office Supplies,Columbus,United States,Ryan Crowe,20.00%,1,25-08-2014,CA-2014-115259,43229,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",2,2,East,5,Consumer,27-08-2014,Second Class,Ohio,Envelopes
Office Supplies,Columbus,United States,Ryan Crowe,20.00%,1,25-08-2014,CA-2014-115259,43229,Xerox 1921,7,3,East,24,Consumer,27-08-2014,Second Class,Ohio,Paper
Office Supplies,Columbus,United States,Ryan Crowe,20.00%,1,25-08-2014,CA-2014-115259,43229,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",44,6,East,130,Consumer,27-08-2014,Second Class,Ohio,Envelopes
Furniture,Seattle,United States,Dave Kipp,0.00%,1,02-03-2015,CA-2015-110457,98103,Hon Racetrack Conference Tables,165,3,West,788,Consumer,06-03-2015,Standard Class,Washington,Tables
Office Supplies,Bristol,United States,Greg Guthrie,70.00%,1,05-04-2015,US-2015-136476,37620,GBC DocuBind 300 Electric Binding Machine,-116,1,South,158,Corporate,10-04-2015,Standard Class,Tennessee,Binders
Furniture,Wilmington,United States,Steven Cartwright,0.00%,1,12-06-2016,CA-2016-103730,19805,Artistic Insta-Plaque,18,3,East,47,Consumer,15-06-2016,First Class,Delaware,Furnishings
Office Supplies,Wilmington,United States,Steven Cartwright,0.00%,1,12-06-2016,CA-2016-103730,19805,DXL Angle-View Binders with Locking Rings by Samsill,14,4,East,31,Consumer,15-06-2016,First Class,Delaware,Binders
Office Supplies,Wilmington,United States,Steven Cartwright,0.00%,1,12-06-2016,CA-2016-103730,19805,"Companion Letter/Legal File, Black",63,6,East,227,Consumer,15-06-2016,First Class,Delaware,Storage
Office Supplies,Wilmington,United States,Steven Cartwright,0.00%,1,12-06-2016,CA-2016-103730,19805,Globe Weis Peel & Seel First Class Envelopes,52,9,East,115,Consumer,15-06-2016,First Class,Delaware,Envelopes
Technology,Wilmington,United States,Steven Cartwright,0.00%,1,12-06-2016,CA-2016-103730,19805,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,20,7,East,68,Consumer,15-06-2016,First Class,Delaware,Phones
Furniture,Houston,United States,Alan Dominguez,30.00%,1,26-12-2014,US-2014-152030,77041,Global Deluxe High-Back Manager's Chair,-9,3,Central,601,Home Office,28-12-2014,Second Class,Texas,Chairs
Furniture,Bloomington,United States,Philip Fox,50.00%,1,20-09-2014,US-2014-134614,61701,Bevis 44 x 96 Conference Tables,-408,6,Central,618,Consumer,25-09-2014,Standard Class,Illinois,Tables
Office Supplies,Phoenix,United States,Troy Staebel,70.00%,1,05-11-2017,US-2017-107272,85023,"Avery Durable Slant Ring Binders, No Labels",-2,2,West,2,Consumer,12-11-2017,Standard Class,Arizona,Binders
Office Supplies,Phoenix,United States,Troy Staebel,20.00%,1,05-11-2017,US-2017-107272,85023,"Trav-L-File Heavy-Duty Shuttle II, Black",30,7,West,244,Consumer,12-11-2017,Standard Class,Arizona,Storage
